train-seats number-passengers partition-boarding boarding-in-lines boarding-behaviour
 "doubles" 50 25 0.5 "bad" 
counter-boarding-inside counter-boarding-finished counter-alighting-outside counter-alighting-finished ticks
 7 13 5 13 15 
 6 12 5 13 15 
 7 13 5 13 15 
 6 13 5 13 15 
 7 14 5 13 16 
 6 12 5 13 15 
 7 13 5 13 15 
 6 13 5 13 15 
 8 14 5 13 16 
 8 13 5 13 15 
 6 13 5 13 15 
 9 16 5 13 18 
 8 14 5 13 16 
 9 15 5 13 17 
 9 16 5 13 18 
 7 14 5 13 16 
 7 13 5 13 15 
 7 14 5 13 16 
 10 17 5 13 19 
 9 16 5 13 18 
 10 16 5 13 18 
 7 13 5 13 15 
 7 14 5 13 16 
 10 16 5 13 18 
 8 15 5 13 17 
 5 12 5 13 15 
 8 14 5 13 16 
 9 16 5 13 18 
 7 13 5 13 15 
 7 14 5 13 16 
 6 13 5 13 15 
 7 14 5 13 16 
 7 13 5 13 15 
 9 15 5 13 17 
 6 13 4 12 15 
 6 12 5 13 15 
 8 15 5 13 17 
 7 14 5 13 16 
 9 16 5 13 18 
 6 13 5 13 15 
 8 15 5 13 17 
 6 12 5 13 15 
 7 13 5 13 15 
 7 12 5 13 15 
 9 15 5 13 17 
 6 13 5 13 15 
 8 14 5 13 16 
 8 15 5 13 17 
 9 15 5 13 17 
 10 17 5 13 19 
 10 17 5 13 19 
 6 13 5 13 15 
 7 14 5 13 16 
 7 14 5 13 16 
 7 14 5 13 16 
 10 16 5 13 18 
 11 18 5 13 20 
 7 14 5 13 16 
 8 13 5 13 15 
 9 15 5 13 17 
 9 16 5 13 18 
 10 17 4 12 19 
 7 13 5 13 15 
 7 14 5 13 16 
 7 14 4 12 16 
 9 15 5 13 17 
 6 13 5 13 15 
 10 17 5 13 19 
 8 14 5 13 16 
 8 15 5 13 17 
 7 13 5 13 15 
 6 13 5 13 15 
 9 15 5 13 17 
 9 15 5 13 17 
 8 15 5 13 17 
 9 15 5 13 17 
 6 13 5 13 15 
 11 16 5 13 18 
 8 15 5 13 17 
 8 14 5 13 16 
 7 14 5 13 16 
 7 14 5 13 16 
 9 16 5 13 18 
 11 18 5 13 20 
 7 13 5 13 15 
 8 15 5 13 17 
 5 12 5 13 15 
 9 16 4 12 18 
 7 13 5 13 15 
 8 13 5 13 15 
 6 13 5 13 15 
 7 14 5 13 16 
 10 16 5 13 18 
 6 13 5 13 15 
 8 15 5 13 17 
 7 13 5 13 15 
 6 12 5 13 15 
 6 13 5 13 15 
 7 13 5 13 15 
 11 17 4 12 19 
